当地时间,温度,气压,湿度,平均风速,点位名称,PM2.5,PM10,AQI空气质量指数,能见度,能见度_origin
2020-01-01 00:00:00,9,723.5,94,2,,,,,1.5226,1.5226
2020-01-01 01:00:00,9,723.5,94,2,金泉两河,113.0,141.0,148,0.993,0.993
2020-01-01 02:00:00,8,722.6,100,2,金泉两河,114.0,142.0,149,1.0946,1.0946
2020-01-01 03:00:00,8,722.6,100,1,金泉两河,108.0,131.0,142,0.8439,0.8439
2020-01-01 04:00:00,8,722.6,100,0,金泉两河,106.0,128.0,139,1.1711,1.1711
2020-01-01 05:00:00,8,721.9,93,0,金泉两河,101.0,121.0,133,0.8618,0.8618
2020-01-01 06:00:00,8,721.9,93,2,金泉两河,86.0,103.0,114,0.8711,0.8711
2020-01-01 07:00:00,8,722.6,93,1,金泉两河,68.0,81.0,92,1.1634,1.1634
2020-01-01 08:00:00,8,722.6,93,0,金泉两河,65.0,74.0,88,1.9756,1.9756
2020-01-01 09:00:00,8,722.6,93,0,金泉两河,74.0,81.0,99,1.6225,1.6225
2020-01-01 10:00:00,8,723.4,93,0,金泉两河,78.0,84.0,104,1.8975,1.8975
2020-01-01 11:00:00,8,723.4,93,0,金泉两河,88.0,96.0,117,2.0257,2.0257
2020-01-01 12:00:00,9,722.8,87,1,金泉两河,91.0,100.0,120,2.1554,2.1554
2020-01-01 13:00:00,9,721.3,87,0,金泉两河,95.0,106.0,125,2.3595,2.3595
2020-01-01 14:00:00,9,720.6,94,1,金泉两河,99.0,112.0,130,2.2299,2.2299
2020-01-01 15:00:00,9,720.6,94,2,金泉两河,100.0,116.0,132,2.2371,2.2371
2020-01-01 16:00:00,9,720.6,87,2,金泉两河,98.0,114.0,129,2.4325,2.4325
2020-01-01 17:00:00,10,720.7,82,2,金泉两河,102.0,121.0,134,2.5101,2.5101
2020-01-01 18:00:00,9,721.3,87,2,金泉两河,98.0,121.0,129,2.6138,2.6138
2020-01-01 19:00:00,9,722.1,87,1,金泉两河,94.0,119.0,124,2.5678,2.5678
2020-01-01 20:00:00,9,722.8,87,1,金泉两河,91.0,119.0,120,2.4999,2.4999
2020-01-01 21:00:00,9,723.5,87,1,金泉两河,90.0,120.0,119,2.9774,2.9774
2020-01-01 22:00:00,9,723.5,87,0,金泉两河,89.0,126.0,118,2.8546,2.8546
2020-01-01 23:00:00,9,724.3,87,1,金泉两河,97.0,128.0,128,2.3632,2.3632
2020-01-02 00:00:00,9,723.5,87,0,金泉两河,101.0,132.0,133,2.435,2.435
2020-01-02 01:00:00,9,723.5,87,1,金泉两河,96.0,128.0,127,2.2366,2.2366
2020-01-02 02:00:00,9,723.5,87,0,金泉两河,100.0,129.0,132,2.2688,2.2688
2020-01-02 03:00:00,9,723.5,87,0,金泉两河,103.0,126.0,135,2.4926,2.4926
2020-01-02 04:00:00,9,723.5,87,1,金泉两河,98.0,126.0,129,2.4369,2.4369
2020-01-02 05:00:00,9,723.5,87,0,金泉两河,92.0,123.0,122,2.3785,2.3785
2020-01-02 06:00:00,9,723.5,87,1,金泉两河,94.0,123.0,124,2.5534,2.5534
2020-01-02 07:00:00,9,724.3,82,1,金泉两河,101.0,127.0,133,2.5415,2.5415
2020-01-02 08:00:00,9,724.3,87,2,金泉两河,110.0,132.0,144,2.2159,2.2159
2020-01-02 09:00:00,9,724.9,82,1,金泉两河,109.0,135.0,143,2.3707,2.3707
2020-01-02 10:00:00,9,725.7,87,0,金泉两河,101.0,142.0,133,3.1273,3.1273
2020-01-02 11:00:00,10,725.8,82,1,金泉两河,102.0,146.0,134,3.0303,3.0303
2020-01-02 12:00:00,10,725.8,76,1,金泉两河,108.0,157.0,142,3.8472,3.8472
2020-01-02 13:00:00,10,725.1,76,1,金泉两河,99.0,142.0,130,3.4685,3.4685
2020-01-02 14:00:00,10,724.4,76,2,金泉两河,102.0,143.0,134,3.3233,3.3233
2020-01-02 15:00:00,10,723.7,76,2,金泉两河,87.0,116.0,115,3.2694,3.2694
2020-01-02 16:00:00,10,723.7,82,2,金泉两河,101.0,130.0,133,2.9668,2.9668
2020-01-02 17:00:00,9,723.5,87,1,金泉两河,101.0,132.0,133,3.6002,3.6002
2020-01-02 18:00:00,9,723.5,87,1,金泉两河,78.0,108.0,104,3.2312,3.2312
2020-01-02 19:00:00,9,724.3,87,0,金泉两河,66.0,100.0,89,3.1862,3.1862
2020-01-02 20:00:00,9,724.9,87,0,金泉两河,79.0,104.0,105,3.0594,3.0594
2020-01-02 21:00:00,9,724.9,87,0,金泉两河,81.0,102.0,108,2.5372,2.5372
2020-01-02 22:00:00,9,725.7,87,0,金泉两河,84.0,107.0,112,2.3518,2.3518
2020-01-02 23:00:00,9,725.7,94,0,金泉两河,100.0,127.0,132,2.2745,2.2745
2020-01-03 00:00:00,9,725.7,94,1,金泉两河,98.0,130.0,129,1.8338,1.8338
2020-01-03 01:00:00,9,725.7,94,1,金泉两河,106.0,132.0,139,2.0189,2.0189
2020-01-03 02:00:00,9,724.9,87,2,金泉两河,110.0,132.0,144,1.9247,1.9247
2020-01-03 03:00:00,9,724.9,87,0,金泉两河,104.0,123.0,137,1.7828,1.7828
2020-01-03 04:00:00,9,724.9,87,1,金泉两河,113.0,130.0,148,2.1218,2.1218
2020-01-03 05:00:00,9,724.9,87,0,金泉两河,113.0,128.0,148,2.4176,2.4176
2020-01-03 06:00:00,8,724.8,93,0,金泉两河,104.0,121.0,137,2.9668,2.9668
2020-01-03 07:00:00,7,724.6,93,0,金泉两河,96.0,112.0,127,2.8206,2.8206
2020-01-03 08:00:00,8,725.5,100,1,金泉两河,82.0,98.0,109,3.4174,3.4174
2020-01-03 09:00:00,9,725.7,87,1,金泉两河,72.0,90.0,97,4.5974,4.5974
2020-01-03 10:00:00,10,726.5,76,1,金泉两河,65.0,82.0,88,5.3859,5.3859
2020-01-03 11:00:00,11,726.6,72,1,金泉两河,57.0,71.0,78,7.0982,7.0982
2020-01-03 12:00:00,12,726.1,58,2,金泉两河,50.0,61.0,69,6.5836,6.5836
2020-01-03 13:00:00,14,725,48,1,金泉两河,48.0,59.0,67,8.102,8.102
2020-01-03 14:00:00,14,724.3,48,2,金泉两河,40.0,49.0,57,8.0663,8.0663
2020-01-03 15:00:00,14,723.5,48,1,金泉两河,42.0,52.0,59,7.0417,7.0417
2020-01-03 16:00:00,14,723.5,48,1,金泉两河,48.0,60.0,67,7.3118,7.3118
2020-01-03 17:00:00,14,723.5,44,2,金泉两河,47.0,61.0,65,6.8273,6.8273
2020-01-03 18:00:00,12,724,54,2,金泉两河,52.0,69.0,72,6.5625,6.5625
2020-01-03 19:00:00,9,723.5,71,0,金泉两河,57.0,78.0,78,5.1852,5.1852
2020-01-03 20:00:00,8,724.1,82,1,金泉两河,61.0,89.0,83,4.9709,4.9709
2020-01-03 21:00:00,9,724.3,76,2,金泉两河,63.0,94.0,85,2.8117,2.8117
2020-01-03 22:00:00,9,724.9,71,2,金泉两河,68.0,104.0,92,1.911,1.911
2020-01-03 23:00:00,8,724.8,82,1,金泉两河,74.0,112.0,99,1.9301,1.9301
2020-01-04 00:00:00,7,724.6,87,0,金泉两河,79.0,116.0,105,3.8037,3.8037
2020-01-04 01:00:00,6,723.8,87,0,金泉两河,81.0,118.0,108,,
2020-01-04 02:00:00,7,724,87,0,金泉两河,86.0,124.0,114,,
2020-01-04 03:00:00,7,723.2,87,0,金泉两河,87.0,119.0,115,,
2020-01-04 04:00:00,7,722.4,87,1,金泉两河,94.0,124.0,124,,
2020-01-04 05:00:00,7,722.4,93,0,金泉两河,87.0,116.0,115,,
2020-01-04 06:00:00,8,721.9,87,0,金泉两河,96.0,125.0,127,,
2020-01-04 07:00:00,7,722.4,93,1,金泉两河,98.0,126.0,129,,
2020-01-04 08:00:00,8,722.6,87,0,金泉两河,92.0,119.0,122,,
2020-01-04 09:00:00,8,722.6,87,0,金泉两河,90.0,117.0,119,,
2020-01-04 10:00:00,9,722.8,82,1,金泉两河,84.0,117.0,112,,
2020-01-04 11:00:00,10,722.9,71,1,金泉两河,100.0,139.0,132,,
2020-01-04 12:00:00,11,722.4,67,2,金泉两河,104.0,145.0,137,,
2020-01-04 13:00:00,11,721.6,67,1,金泉两河,104.0,143.0,137,,
2020-01-04 14:00:00,12,720.4,58,1,金泉两河,104.0,144.0,137,,
2020-01-04 15:00:00,12,719.6,58,1,金泉两河,102.0,143.0,134,,
2020-01-04 16:00:00,12,719,58,2,金泉两河,97.0,138.0,128,,
2020-01-04 17:00:00,11,718.8,67,3,金泉两河,86.0,129.0,114,,
2020-01-04 18:00:00,11,718.8,67,2,金泉两河,56.0,112.0,81,,
2020-01-04 19:00:00,10,718.7,71,3,金泉两河,38.0,108.0,79,,
2020-01-04 20:00:00,10,719.3,67,3,金泉两河,40.0,105.0,78,,
2020-01-04 21:00:00,10,719.3,76,2,金泉两河,36.0,102.0,76,4.6783,4.6783
2020-01-04 22:00:00,9,718.5,87,1,金泉两河,28.0,97.0,74,4.4222,4.4222
2020-01-04 23:00:00,8,718.4,93,0,金泉两河,22.0,101.0,76,4.2047,4.2047
2020-01-05 00:00:00,8,718.4,93,2,金泉两河,28.0,98.0,74,,
2020-01-05 01:00:00,8,717.6,93,1,金泉两河,22.0,99.0,75,,
2020-01-05 02:00:00,8,717.6,93,2,金泉两河,53.0,97.0,74,,
2020-01-05 03:00:00,8,716.9,93,1,金泉两河,82.0,96.0,109,,
2020-01-05 04:00:00,8,716.9,87,2,金泉两河,74.0,99.0,99,,
2020-01-05 05:00:00,8,716.9,87,1,金泉两河,42.0,96.0,73,,
2020-01-05 06:00:00,8,716.9,87,0,金泉两河,59.0,96.0,80,,
2020-01-05 07:00:00,8,716.9,93,0,金泉两河,104.0,97.0,137,,
2020-01-05 08:00:00,8,717.6,93,1,金泉两河,145.0,94.0,193,,
2020-01-05 09:00:00,8,718.4,93,2,金泉两河,166.0,96.0,216,,
2020-01-05 10:00:00,8,718.4,93,1,金泉两河,159.0,92.0,209,,
2020-01-05 11:00:00,9,719.2,87,1,金泉两河,0.2,—,—,,
2020-01-05 12:00:00,9,718.5,87,1,金泉两河,—,—,—,,
2020-01-05 13:00:00,9,717.8,87,1,金泉两河,—,—,—,,
2020-01-05 14:00:00,10,716.5,82,0,金泉两河,—,—,—,,
2020-01-05 15:00:00,10,716.5,82,0,金泉两河,—,—,—,,
2020-01-05 16:00:00,10,716.5,82,1,金泉两河,—,—,—,,
2020-01-05 17:00:00,10,716.5,82,0,金泉两河,—,—,—,,
2020-01-05 18:00:00,10,717.2,82,1,金泉两河,—,—,—,,
2020-01-05 19:00:00,10,717.9,82,0,金泉两河,—,—,—,,
2020-01-05 20:00:00,10,717.9,82,0,金泉两河,—,—,—,2.7399,2.7399
2020-01-05 21:00:00,10,719.3,82,1,金泉两河,—,—,—,,
2020-01-05 22:00:00,10,719.3,88,1,金泉两河,—,—,—,,
2020-01-05 23:00:00,9,719.2,94,0,金泉两河,—,—,—,,
2020-01-06 00:00:00,9,719.2,94,0,金泉两河,—,—,—,2.3965,2.3965
